Event Id | Investigation Type | Accident Number | Event Date | Location | Country | Latitude | Longitude | Airport Code | Airport Name | Injury Severity | Aircraft Damage | Aircraft Category | Registration Number | Make | Model | Amateur Built | Number of Engines | Engine Type | FAR Description | Schedule | Purpose of Flight | Air Carrier | Total Fatal Injuries | Total Serious Injuries | Total Minor Injuries | Total Uninjured | Weather Condition | Broad Phase of Flight | Report Status | Publication Date | 
20150908X74637 | Accident | CEN15LA402 | 09/08/2015 | Freeport, IL | United States | 42.246111 | -89.581945 | KFEP | albertus Airport | Non-Fatal | Substantial | Unknown | N24TL | CLARKE REGINALD W | DRAGONFLY MK |  |  |  | Part 91: General Aviation |  | Personal |  |  | 1 |  |  | VMC | TAKEOFF | Preliminary | 09/09/2015 | 
20150906X32704 | Accident | ERA15LA339 | 09/05/2015 | Laconia, NH | United States | 43.606389 | -71.452778 | LCI | Laconia Municipal Airport | Fatal(1) | Substantial | Weight-Shift | N2264X | EVOLUTION AIRCRAFT INC | REVO | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  | 1 |  |  |  | VMC | MANEUVERING | Preliminary | 09/10/2015 | 
20150908X00229 | Accident | GAA15CA251 | 09/04/2015 | Hayes, SD | United States |  |  |  |  |  |  |  | N321DA | AIR TRACTOR INC | AT 402A |  |  |  |  |  |  |  |  |  |  |  |  |  | Preliminary |  | 
20150903X33216 | Accident | WPR15FA256 | 09/03/2015 | Santee, CA | United States | 32.829445 | -116.988611 | SEE | GILLESPIE FIELD | Fatal(2) | Substantial | Airplane | N8441B | PIPER | PA28 | No | 1 | Reciprocating | Part 91: General Aviation |  | Instructional |  | 2 |  |  |  | VMC | TAKEOFF | Preliminary | 09/09/2015 | 
20150903X34535 | Accident | ERA15LA338 | 09/03/2015 | Cresskill, NJ | United States | 40.935833 | -73.958611 |  | N/A | Non-Fatal | Destroyed | Airplane | N758DK | CESSNA | R172K | No | 1 | Reciprocating | Public Use |  | Aerial Observation |  |  | 2 |  |  | VMC |  | Preliminary | 09/10/2015 | 
20150902X74630 | Accident | ERA15FA336 | 09/02/2015 | Bon Aqua, TN | United States | 35.935000 | -87.252500 |  | N/A | Fatal(1) | Substantial | Airplane | N216LA | HENDERSON W A/JOHNSON W L | RV 6A | Yes | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  | 1 |  |  |  | VMC |  | Preliminary | 09/08/2015 | 
20150902X51516 | Accident | ERA15FA335 | 09/02/2015 | Advance, NC | United States | 35.914444 | -80.462222 | 8A7 | Twin Lakes Airport | Fatal(2) | Destroyed | Airplane | N393MC | COOPER MICHAEL C | RV 8A | Yes |  | Reciprocating | Part 91: General Aviation |  | Personal |  | 2 |  |  |  | VMC |  | Preliminary | 09/10/2015 | 
20150902X73001 | Accident | WPR15LA255 | 09/01/2015 | Jerome, ID | United States | 42.721667 | -114.439166 | JER | JEROME COUNTY | Non-Fatal | Destroyed | Airplane | N4BM | EXTRA FLUGZEUGBAU GMBH | EA 300/L | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  | 1 |  |  | VMC | MANEUVERING | Preliminary | 09/10/2015 | 
20150901X74304 | Accident | GAA15CA244 | 09/01/2015 | Truckee, CA | United States |  |  |  |  |  |  |  | N786AB | JOE SALOMONE | SUPER CUB SQ2 |  |  |  |  |  |  |  |  |  |  |  |  |  | Preliminary |  | 
20150901X92332 | Accident | CEN15LA392 | 08/31/2015 | Houston, TX | United States | 29.809444 | -95.668889 | IWS | WEST HOUSTON | Non-Fatal | Substantial | Airplane | N452CS | CESSNA | T240 | No |  |  | Part 91: General Aviation |  | Instructional |  |  |  |  | 2 | VMC | LANDING | Preliminary | 09/04/2015 | 
20150902X61853 | Accident | GAA15CA246 | 08/30/2015 | New Milford, CT | United States |  |  |  |  |  |  |  | N112RP | CESSNA | 170A |  |  |  |  |  |  |  |  |  |  |  |  |  | Preliminary |  | 
20150901X02521 | Accident | GAA15CA243 | 08/30/2015 | New Enterprise, PA | United States |  |  |  |  |  |  |  | N8404X | CESSNA | 172C |  |  |  |  |  |  |  |  |  |  |  |  |  | Preliminary |  | 
20150903X35525 | Accident | GAA15CA247 | 08/29/2015 | Columbia, MO | United States |  |  |  |  |  |  |  | N1224X | MOONEY | M20D |  |  |  |  |  |  |  |  |  |  |  |  |  | Preliminary |  | 
20150831X61356 | Accident | GAA15CA242 | 08/29/2015 | MIDLOTHIAN, TX | United States |  |  |  |  |  |  |  | N5255G | CESSNA | 305A |  |  |  |  |  |  |  |  |  |  |  |  |  | Preliminary |  | 
20150831X30510 | Accident | WPR15LA253B | 08/28/2015 | Las Vegas, NV | United States | 36.099444 | -115.162500 | LAS | McCarran International | Non-Fatal | Minor | Airplane | N187AA | DASSAULT | FALCON2000 | No | 2 | Turbo Jet | Part 91: General Aviation |  | Business |  |  |  |  | 5 | VMC | STANDING | Preliminary | 09/03/2015 | 
20150831X30510 | Accident | WPR15LA253A | 08/28/2015 | Las Vegas, NV | United States | 36.099444 | -115.162500 | LAS | McCarran International | Non-Fatal | Substantial | Airplane | N959MC | BEECH | C90 | No | 2 | Turbo Prop | Part 91: General Aviation |  | Business |  |  |  |  | 5 | VMC | STANDING | Preliminary | 09/03/2015 | 
20150908X65521 | Accident | GAA15CA250 | 08/28/2015 | Welsh, LA | United States |  |  |  |  |  |  |  | N8761H | GRUMMAN AMERICAN AVN. CORP. | G 164A |  |  |  |  |  |  |  |  |  |  |  |  |  | Preliminary |  | 
20150831X33537 | Accident | ERA15LA333 | 08/28/2015 | Fayetteville, TN | United States | 35.139444 | -86.682223 |  | N/A | Non-Fatal | Substantial | Airplane | N891PC | BEECH | E 90 | No | 2 | Turbo Prop | Part 91: General Aviation |  | Personal |  |  |  |  | 1 | VMC | CLIMB | Preliminary | 09/10/2015 | 
20150828X53921 | Accident | ERA15FA331 | 08/28/2015 | Newburgh, NY | United States | 41.501111 | -74.107500 | SWF | STEWART INTL | Fatal(1) | Destroyed | Airplane | N18FJ | CORNELL W F/SAHAKIAN J A JR | GILES 202 (G202) | Yes | 1 | Reciprocating | Part 91: General Aviation |  | Air Race/Show |  | 1 |  |  |  | VMC |  | Preliminary | 09/08/2015 | 
20150828X82523 | Accident | CEN15LA387 | 08/28/2015 | Cheyenne, WY | United States | 41.097222 | -104.827223 | KCYS | Cheyenne Regional/Jerry Olson | Non-Fatal | Substantial | Helicopter | N440SA | ROBINSON | R44 II | No | 1 | Reciprocating | Part 91: General Aviation |  | Business |  |  | 3 | 3 |  | VMC | LANDING | Preliminary | 09/01/2015 | 
20150827X11718 | Accident | WPR15LA251 | 08/27/2015 | San Carlos, CA | United States | 37.511944 | -122.249444 | SQL | SAN CARLOS | Non-Fatal | Substantial | Airplane | N919E | DOVA AIRCRAFT | DV-1 | No |  |  | Part 91: General Aviation |  | Personal |  |  |  |  | 1 | VMC | TAKEOFF | Preliminary | 09/03/2015 | 
20150828X45040 | Incident | WPR15IA252 | 08/27/2015 | Scottsdale, AZ | United States |  |  | SDL | Scottsdale | Incident | Minor | Airplane | N915TD | CIRRUS | SR22 | No |  | Reciprocating | Part 91: General Aviation |  | Instructional |  |  |  |  | 3 | VMC | LANDING | Preliminary | 09/03/2015 | 
20150827X65830 | Accident | WPR15FA250 | 08/27/2015 | Llano, CA | United States | 34.483056 | -117.835833 | 46CN | CRYSTAL | Fatal(1) | Substantial | Airplane | N4369Y | PIPER | PA 25 | No | 1 | Reciprocating | Part 91: General Aviation |  | Glider Tow |  | 1 |  |  |  | VMC | APPROACH | Preliminary | 09/08/2015 | 
20150910X82309 | Accident | GAA15CA255 | 08/27/2015 | Irwin, ID | United States |  |  |  |  |  |  |  | N63BW | AVIAT AIRCRAFT INC | A-1C-200 |  |  |  |  |  |  |  |  |  |  |  |  |  | Preliminary |  | 
20150827X13623 | Accident | ERA15FA330 | 08/27/2015 | Alabaster, AL | United States | 33.166945 | -86.778056 | EET | SHELBY COUNTY | Fatal(1) | Substantial | Airplane | N1116C | CIRRUS DESIGN CORP | SR22 | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  | 1 |  |  |  | VMC | APPROACH | Preliminary | 09/03/2015 | 
20150827X03425 | Accident | ERA15FA326 | 08/27/2015 | Houlton, ME | United States | 46.100833 | -67.804444 | HUL | HOULTON INTL | Fatal(1) | Destroyed | Airplane | N553MD | PIPER | PA 44-180 | No | 2 | Reciprocating | Part 91: General Aviation |  | Ferry |  | 1 |  |  |  | IMC | APPROACH | Preliminary | 09/03/2015 | 
20150827X82014 | Incident | CEN15IA385 | 08/27/2015 | Joliet, IL | United States |  |  |  | N/A | Incident | Minor | Airplane | N900AM | PIPER | PA-23-250 | No | 2 | Reciprocating | Part 91: General Aviation |  | Positioning |  |  |  |  | 1 | VMC |  | Preliminary | 09/08/2015 | 
20150827X15359 | Accident | CEN15FA386 | 08/27/2015 | Battle Creek, MI | United States |  |  | KBTL | W K Kellogg | Fatal(1) | Substantial | Airplane | N227TB | BARROW TED A | ONE EASY | Yes | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  | 1 |  |  |  | VMC | TAKEOFF | Preliminary | 09/01/2015 | 
20150827X63051 | Accident | GAA15CA240 | 08/26/2015 | DeFuniak Springs, FL | United States |  |  |  |  |  |  |  | N7215W | PIPER | PA 28-180 |  |  |  |  |  |  |  |  |  |  |  |  |  | Preliminary |  | 
20150827X25640 | Accident | GAA15CA239 | 08/26/2015 | Susanville, CA | United States |  |  |  |  |  |  |  | N1417X | PIPER | PA 28-180 |  |  |  |  |  |  |  |  |  |  |  |  |  | Preliminary |  | 
20150826X31747 | Accident | ERA15FA325 | 08/26/2015 | Titusville, FL | United States | 28.524723 | -80.761667 | TIX | SPACE COAST RGNL | Fatal(1) | Destroyed | Airplane | N90PS | CESSNA | 310R | No | 2 | Reciprocating | Part 91: General Aviation |  | Personal |  | 1 |  |  |  | IMC | GO-AROUND | Preliminary | 09/03/2015 | 
